dataset,cow_id,view,has_rgb_png,has_depth_png,has_view_ply,has_top_level_ply,has_aligned_ply
CowDatabase2,46,right,True,True,True,False,True
CowDatabase2,46,top,True,True,True,False,True
CowDatabase2,47,left,True,True,True,False,True
CowDatabase2,47,right,True,True,True,False,True
CowDatabase2,47,top,True,True,True,False,True
CowDatabase2,48,left,True,True,True,False,True
CowDatabase2,48,right,True,True,True,False,True
CowDatabase2,48,top,True,True,True,False,True
CowDatabase2,49,left,True,True,True,False,True
CowDatabase2,49,right,True,True,True,False,True
CowDatabase2,49,top,True,True,True,False,True
CowDatabase2,5,left,True,True,True,False,True
CowDatabase2,5,right,True,True,True,False,True
CowDatabase2,5,top,True,True,True,False,True
CowDatabase2,50,left,True,True,True,False,True
CowDatabase2,50,right,True,True,True,False,True
CowDatabase2,50,top,True,True,True,False,True
CowDatabase2,51,left,True,True,True,False,True
CowDatabase2,51,right,True,True,True,False,True
CowDatabase2,51,top,True,True,True,False,True
CowDatabase2,52,left,True,True,True,False,True
CowDatabase2,52,right,True,True,True,False,True
CowDatabase2,52,top,True,True,True,False,True
CowDatabase2,53,left,True,True,True,False,True
CowDatabase2,53,right,True,True,True,False,True
CowDatabase2,53,top,True,True,True,False,True
CowDatabase2,54,left,True,True,True,False,True
CowDatabase2,54,right,True,True,True,False,True
CowDatabase2,54,top,True,True,True,False,True
CowDatabase2,55,left,True,True,True,False,True
CowDatabase2,55,right,True,True,True,False,True
CowDatabase2,55,top,True,True,True,False,True
CowDatabase2,56,left,True,True,True,False,True
CowDatabase2,56,right,True,True,True,False,True
CowDatabase2,56,top,True,True,True,False,True
CowDatabase2,57,left,True,True,True,False,True
CowDatabase2,57,right,True,True,True,False,True
